x,Top,Bottom,Side
0,0.364623,0.356322,0.00191571
0.025,0.388159,0.334588,0.0286804
0.05,0.402073,0.326916,0.042311
0.075,0.414029,0.32298,0.0546775
0.1,0.424531,0.319645,0.0641762
0.125,0.433719,0.31631,0.0714799
0.15,0.442907,0.314884,0.0777299
0.175,0.450534,0.315886,0.0847733
0.2,0.457079,0.316888,0.0919881
0.225,0.463624,0.31789,0.0992029
0.25,0.470785,0.318559,0.105318
0.275,0.48386,0.318778,0.109367
0.3,0.500192,0.318997,0.113416
0.325,0.514301,0.319216,0.116184
0.35,0.524272,0.319435,0.11889
0.375,0.532807,0.319654,0.119954
0.4,0.540757,0.319873,0.120586
0.425,0.54712,0.320092,0.121218
0.45,0.551893,0.320311,0.121849
0.475,0.554559,0.32053,0.122481
0.5,0.556513,0.320749,0.123112
0.525,0.556352,0.321012,0.123525
0.55,0.555009,0.321425,0.123197
0.575,0.553665,0.321838,0.122869
0.6,0.552322,0.32225,0.122542
0.625,0.550979,0.322663,0.122214
0.65,0.549636,0.323076,0.121556
0.675,0.548292,0.327171,0.118719
0.7,0.546949,0.331634,0.115883
0.725,0.545606,0.338084,0.113046
0.75,0.542438,0.344534,0.10795
0.775,0.539041,0.35125,0.102328
0.8,0.535643,0.358176,0.0964928
0.825,0.532245,0.368627,0.0889073
0.85,0.528847,0.379079,0.0813218
0.875,0.52545,0.390805,0.073628
0.9,0.522052,0.403257,0.06492
0.925,0.518654,0.417502,0.056212
0.95,0.513745,0.433729,0.0455072
0.975,0.50682,0.452134,0.0325602
1,0.495211,0.471477,0.0113346
